prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,contract,licensestart,licenseend,FUTURE,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories
60ZW,2SRPV,2SRPV,75SNV,FONSEAssetID,75SMV,Blade Runner: The Final Cut,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
6100,2SRRV,2SRRV,75SRV,FONSEAssetID,75SQV,Beerfest (Unrated),592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
6102,2SRSV,2SRSV,75STV,FONSEAssetID,75SSV,Blade,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
6104,2SRTV,2SRTV,75SVV,FONSEAssetID,75SUV,The Client,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
6108,2SRVV,2SRVV,75SZV,FONSEAssetID,75SYV,The Color Purple,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610C,2SRXV,2SRXV,75T3V,FONSEAssetID,75T2V,Citizen Kane (70th Anniversary Edition),592,2013/11/21 05:01,2050/01/01 04:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610E,2SRYV,2SRYV,75T5V,FONSEAssetID,75T4V,The Book of Eli,592,2013/11/21 00:01,2022/01/14 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610G,2SRZV,2SRZV,75T7V,FONSEAssetID,,Casablanca,592,2013/11/21 05:01,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
610I,2SS0V,2SS0V,75T9V,FONSEAssetID,75T8V,Maverick,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610K,2SS1V,2SS1V,75TBV,FONSEAssetID,75TAV,Contact,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610M,2SS2V,2SS2V,75TDV,FONSEAssetID,75TCV,Gremlins,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610O,2SS3V,2SS3V,75TFV,FONSEAssetID,75TEV,Deliverance,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610Q,2SS4V,2SS4V,75THV,FONSEAssetID,75TGV,Life as a House,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610S,2SS5V,2SS5V,75TJV,FONSEAssetID,75TIV,Lady in the Water,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610U,2SS6V,2SS6V,75TLV,FONSEAssetID,75TKV,A Mighty Wind,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610W,2SS7V,2SS7V,75TNV,FONSEAssetID,75TMV,The Exorcist: Extended Director's Cut,592,2013/11/21 00:01,2023/12/26 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
610Y,2SS8V,2SS8V,75TPV,FONSEAssetID,75TOV,National Lampoon's Vacation,592,2013/11/21 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
6116,2SSOV,2SSOV,75TRV,FONSEAssetID,75TQV,A Nightmare on Elm Street (1984),592,2013/11/20 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
6118,2SSPV,2SSPV,75TTV,FONSEAssetID,75TSV,The Phantom of the Opera (2004),592,2013/11/20 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
611A,2SSQV,2SSQV,75TVV,FONSEAssetID,75TUV,Natural Born Killers,592,2013/11/20 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
611C,2SSRV,2SSRV,75TXV,FONSEAssetID,75TWV,Outbreak,592,2013/11/20 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
