contractid|providerid|priority|vodtype
1672|nflredzone.com|P3|SVOD
1673|MPIX|P2|SVOD
1674|teletoonplus|P2|SVOD
1675|nelvanafr|0|SVOD
1685|wwe.com|P3|SVOD
1691|www.niagara.ca|TVOD|TVOD
1695|tsnOG.com|P3|SVOD
1701|www.lesfilmsdu.ca|TVOD|TVOD
1712|www.orchard.com|TVOD|TVOD
1713|www.sevillepictures.com|TVOD|TVOD
1723|viceland|P3|SVOD
1724|KaraokeFR.com|P3|SVOD
1727|ambiance.com|0|TVOD
1728|ambiance_fr.com|#N/A|SVOD
1729|www.disney.com|TVOD|TVOD
1730|fyi.ca|P3|SVOD
1732|UNIS|P3|SVOD
1734|www.juice.ca|TVOD|TVOD
1738|igametv.com|#N/A|SVOD
1742|antenna3.com|#N/A|SVOD
1744|outtv.com|P3|SVOD
1745|frontlinemedia.com|TVOD|TVOD
1746|frontlinemedia.com|TVOD|TVOD
1751|www.bell.ca|TVOD|TVOD
1752|www.bell.ca|TVOD|TVOD
1754|sel.com|TVOD|TVOD
1756|www.vmmi.ca|TVOD|TVOD
1758|www.gamma.ca|TVOD|TVOD
1760|tenbroadcasting.com|TVOD|TVOD
1762|www.sevillepictures.com|TVOD|TVOD
1764|www.iyep.ca|TVOD|TVOD
1783|milehigh.com|TVOD|TVOD
1784|milehigh.com|TVOD|TVOD
1785|www.manwin.com|TVOD|TVOD
1786|pixcast.com|TVOD|TVOD
1787|pixcast.com|TVOD|TVOD
1788|zt.com|TVOD|TVOD
1789|www.sunrise.com|TVOD|TVOD
1790|ad4distribution.com|TVOD|TVOD
1791|titanmen.com|TVOD|TVOD
1792|www.vivid.com|TVOD|TVOD
1793|www.datatech.com|TVOD|TVOD
1794|www.hustler.com|TVOD|TVOD
1795|www.mrgentertainment.visualnet.com|TVOD|TVOD
1796|www.mantraent.com|TVOD|TVOD
1797|www.fantasyone.com|TVOD|TVOD
1798|www.vanessa.ca|TVOD|TVOD
1799|www.vanessa.ca|TVOD|TVOD
1800|www.venus.ca|TVOD|TVOD
1801|www.vvs.ca|TVOD|TVOD
1803|www.sevillepictures.com|TVOD|TVOD
1804|www.sevillepictures.com|TVOD|TVOD
1805|www.sevillepictures.com|TVOD|TVOD
1806|www.sevillepictures.com|TVOD|TVOD
1807|www.sevillepictures.com|TVOD|TVOD
1808|www.searchenginefilms.ca|TVOD|TVOD
1814|fairchild.com|P3|TVOD
